       omega                    ReSigmaC(eV)     ImSigmaC(eV)    
     46.05290950                1.52978511       -0.00562916     
     46.32502335                1.47460409       -0.00450245     
     46.59713720                1.42903383       -0.00368823     
     46.86925105                1.39053580       -0.00307906     
     47.14136491                1.35740974       -0.00261023     
     47.41347876                1.32847199       -0.00224084     
     47.68559261                1.30287164       -0.00194401     
     47.95770646                1.27998024       -0.00170144     
     48.22982031                1.25932280       -0.00150033     
     48.50193416                1.24053305       -0.00133148     
     48.77404801                1.22332361       -0.00118815     
     49.04616186                1.20746552       -0.00106530     
     49.31827571                1.19277383       -0.00095910     
     49.59038956                1.17909736       -0.00086658     
     49.86250341                1.16631117       -0.00078543     
     50.13461726                1.15431099       -0.00071380     
     50.40673111                1.14300902       -0.00065022     
     50.67884496                1.13233071       -0.00059351     
     50.95095881                1.12221235       -0.00054268     
     51.22307266                1.11259906       -0.00049692     
     51.49518651                1.10344331       -0.00045558     
     51.76730036                1.09470369       -0.00041810     
     52.03941421                1.08634393       -0.00038399     
     52.31152806                1.07833211       -0.00035286     
     52.58364192                1.07064000       -0.00032438     
     52.85575577                1.06324253       -0.00029824     
     53.12786962                1.05611736       -0.00027419     
     53.39998347                1.04924450       -0.00025203     
     53.67209732                1.04260600       -0.00023155     
     53.94421117                1.03618567       -0.00021258     
     54.21632502                1.02996891       -0.00019500     
     54.48843887                1.02394247       -0.00017866     
     54.76055272                1.01809431       -0.00016345     
     55.03266657                1.01241347       -0.00014927     
     55.30478042                1.00688993       -0.00013604     
     55.57689427                1.00151452       -0.00012367     
     55.84900812                0.99627883       -0.00011209     
     56.12112197                0.99117512       -0.00010124     
     56.39323582                0.98619627       -0.00009106     
     56.66534967                0.98133570       -0.00008149     
     56.93746352                0.97658732       -0.00007250     
     57.20957737                0.97194550       -0.00006403     
     57.48169122                0.96740502       -0.00005606     
